Sampleid,Cutoff,Clonotypes,Associated_Clones,class
NOA-16_ID03_V03_tracking,AssociatedClones_Cutoff_1e-01,31256,65,Positive
NOA-16_ID04_V03_tracking,AssociatedClones_Cutoff_1e-01,52194,114,Positive
NOA-16_ID05_V03_tracking,AssociatedClones_Cutoff_1e-01,77800,124,Positive
NOA-16_ID09_V03_tracking,AssociatedClones_Cutoff_1e-01,21436,45,Positive
NOA-16_ID10_V03_tracking,AssociatedClones_Cutoff_1e-01,139101,174,Positive
NOA-16_ID11_V03_tracking,AssociatedClones_Cutoff_1e-01,33721,59,Positive
NOA-16_ID12_V03_tracking,AssociatedClones_Cutoff_1e-01,24327,64,Positive
NOA-16_ID13_V03_tracking,AssociatedClones_Cutoff_1e-01,93685,120,Positive
NOA-16_ID15_V03_tracking,AssociatedClones_Cutoff_1e-01,101419,229,Positive
NOA-16_ID17_V03_tracking,AssociatedClones_Cutoff_1e-01,75096,132,Positive
NOA-16_ID18_V03_tracking,AssociatedClones_Cutoff_1e-01,35313,76,Positive
NOA-16_ID20_V03_tracking,AssociatedClones_Cutoff_1e-01,79294,148,Positive
NOA-16_ID23_V03_tracking,AssociatedClones_Cutoff_1e-01,101439,210,Positive
NOA-16_ID24_V03_tracking,AssociatedClones_Cutoff_1e-01,136797,167,Positive
NOA-16_ID25_V03_tracking,AssociatedClones_Cutoff_1e-01,24028,32,Positive
NOA-16_ID26_V03_tracking,AssociatedClones_Cutoff_1e-01,46611,77,Positive
NOA-16_ID27_V03_tracking,AssociatedClones_Cutoff_1e-01,135254,298,Positive
NOA-16_ID28_V03_tracking,AssociatedClones_Cutoff_1e-01,55585,101,Positive
NOA-16_ID30_V03_tracking,AssociatedClones_Cutoff_1e-01,55940,109,Positive
NOA-16_ID31_V03_tracking,AssociatedClones_Cutoff_1e-01,50292,109,Positive
NOA-16_ID32_V03_tracking,AssociatedClones_Cutoff_1e-01,86944,138,Positive
NOA-16_ID33_V03_tracking,AssociatedClones_Cutoff_1e-01,134972,255,Positive
Subject_101,AssociatedClones_Cutoff_1e-01,160177,1,Negative
Subject_104,AssociatedClones_Cutoff_1e-01,249282,6,Negative
Subject_13,AssociatedClones_Cutoff_1e-01,180677,1,Negative
Subject_152,AssociatedClones_Cutoff_1e-01,116449,2,Negative
Subject_157,AssociatedClones_Cutoff_1e-01,41143,0,Negative
Subject_18,AssociatedClones_Cutoff_1e-01,236773,14,Negative
Subject_27,AssociatedClones_Cutoff_1e-01,206117,4,Negative
Subject_41,AssociatedClones_Cutoff_1e-01,156903,1,Negative
Subject_44,AssociatedClones_Cutoff_1e-01,175909,6,Negative
Subject_49,AssociatedClones_Cutoff_1e-01,125997,2,Negative
Subject_53,AssociatedClones_Cutoff_1e-01,229119,7,Negative
Subject_58,AssociatedClones_Cutoff_1e-01,201256,6,Negative
Subject_63,AssociatedClones_Cutoff_1e-01,111348,0,Negative
Subject_66,AssociatedClones_Cutoff_1e-01,128584,4,Negative
Subject_68,AssociatedClones_Cutoff_1e-01,112094,1,Negative
Subject_72,AssociatedClones_Cutoff_1e-01,183187,4,Negative
Subject_78,AssociatedClones_Cutoff_1e-01,124127,2,Negative
Subject_84,AssociatedClones_Cutoff_1e-01,106237,1,Negative
Subject_90,AssociatedClones_Cutoff_1e-01,146128,5,Negative
Subject_92,AssociatedClones_Cutoff_1e-01,162655,1,Negative
Subject_95,AssociatedClones_Cutoff_1e-01,125594,1,Negative
Subject_98,AssociatedClones_Cutoff_1e-01,158796,1,Negative
